ko_wpos	ko_pospat	ko	en	en_semantic_tags	en_semantic_tags_tokenwise	category	note
이상__05/NNG 투자__02/NNG	NNG NNG	이상__05 투자__02	investment	I1.1		MONEY & COMMERCE	연결
투자__02/NNG 발표__01/NNG	NNG NNG	투자__02 발표__01	investment	I1.1		MONEY & COMMERCE	연결
인사__01/NNG 수석__02/NNG	NNG NNG	인사__01 수석__02	secretary	I3.2/S2mf S7.1+/S2mf		MONEY & COMMERCE	연결
장례__02/NNG 문화__01/NNG	NNG NNG	장례__02 문화__01	culture	C1 S1.1.1 S5+ L1 | L1		ARTS & CRAFTS	연결
원가__05/NNG 공개__02/NNG	NNG NNG	원가__05 공개__02	disclose	Q2.2 A10+		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
낮/NNG 동안__01/NNG	NNG NNG	낮 동안__01	daytime	T1.3 | Z3c		TIME	연결
취업/NNG 희망자/NNG	NNG NNG	취업 희망자	applicants	Q2.2 | Q2.2/S2mf		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
소비자/NNG 중심__01/NNG	NNG NNG	소비자 중심__01	consumer-oriented		"consumer = ""I2.2/S2mf""; oriented = ""M6 A6.2+ | Z2 Z3c"""		연결(토큰 단위)
준공/NNG 예정__02/NNG	NNG NNG	준공 예정__02	scheduled	X7+/T1		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
예산안/NNG 심의__05/NNG	NNG NNG	예산안 심의__05	budget	I1 | I1 G1.1/I1 I1.3-		MONEY & COMMERCE	연결
부처__04/NNG 예산__02/NNG	NNG NNG	부처__04 예산__02	budget	I1 | I1 G1.1/I1 I1.3-		MONEY & COMMERCE	연결
군사__04/NNG 합의__01/NNG	NNG NNG	군사__04 합의__01	Agreement	A6.1+ Q2.2		GENERAL & ABSTRACT TERMS	연결
대미__04/NNG 협상__01/NNG	NNG NNG	대미__04 협상__01	negotiations	Q2.2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
산업/NNG 구조조정/NNG	NNG NNG	산업 구조조정	industries	I4		MONEY & COMMERCE	연결
성능/NNG 면__05/NNG	NNG NNG	성능 면__05	performance	K4 X9.2 A1.1.1 A12-		ENTERTAINMENT, SPORTS & GAMES	연결
자기__04/NNG 소개서/NNG	NNG NNG	자기__04 소개서	letter	Q1.2 | Q1.2 Q3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
국내__02/NNG 관련/NNG	NNG NNG	국내__02 관련	domestic	B4/S2mf | H4 S4 E3+/L2 M6		THE BODY & THE INDIVIDUAL	연결
국내__02/NNG 수소__03/NNG	NNG NNG	국내__02 수소__03	domestic	B4/S2mf | H4 S4 E3+/L2 M6		THE BODY & THE INDIVIDUAL	연결
이번__01/NNG 실태조사/NNG	NNG NNG	이번__01 실태조사	survey	X2.4		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
재정__05/NNG 형편__01/NNG	NNG NNG	재정__05 형편__01	financial	I1		MONEY & COMMERCE	연결
토지__02/NNG 면적/NNG	NNG NNG	토지__02 면적	land	M1 M2 M5 M4 A9+ A2.2 | W3 M7		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
자산__03/NNG 가치__06/NNG	NNG NNG	자산__03 가치__06	value	A11.1+ I1.3 | A11.1+ I1.3 G2.2 A4.1 N1		GENERAL & ABSTRACT TERMS	연결
항__08/NNG 규정__04/NNG	NNG NNG	항__08 규정__04	provisions	O2 G2.1		SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
처벌/NNG 규정__04/NNG	NNG NNG	처벌 규정__04	punishment	G2.1		GOVT. & THE PUBLIC DOMAIN	연결
해외/NNG 소비자/NNG	NNG NNG	해외 소비자	consumers	I2.2/S2mf		MONEY & COMMERCE	연결
오른쪽/NNG 담장__01/NNG	NNG NNG	오른쪽 담장__01	right	A5.3+ A4.2+ A1.2+ G2.2+ M6 N3.2+ A13.3 A13.2 | A5.3+/A2.1 | S7.4+ G2.2+ M6 G1.2 | Z4 | Z4 A5.3+ A4.2+ M6 A13.3 A13.2		GENERAL & ABSTRACT TERMS	연결
노사__07/NNG 갈등/NNG	NNG NNG	노사__07 갈등	disputes	A6.1- | Q2.2/A6.1-		GENERAL & ABSTRACT TERMS	연결
지급__01/NNG 절차__02/NNG	NNG NNG	지급__01 절차__02	procedures	X4.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
피해__01/NNG 진술__02/NNG	NNG NNG	피해__01 진술__02	damage	A1.1.2 | A1.1.2 I1.1+/G2.1		GENERAL & ABSTRACT TERMS	연결
지도__09/NNG 점검/NNG	NNG NNG	지도__09 점검	checks	X2.4/A5.3 A15 Q1.2 T2- M5 | X2.4/A5.3 I1.3 O4.4/B5		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
러닝/NNG 센터__02/NNG	NNG NNG	러닝 센터__02	Center	M6 | M6 H1c M7c G1.2c K5.1mfn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
센터__02/NNG 주관__01/NNG	NNG NNG	센터__02 주관__01	Center	M6 | M6 H1c M7c G1.2c K5.1mfn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
마린__01/NNG 센터__02/NNG	NNG NNG	마린__01 센터__02	Center	M6 | M6 H1c M7c G1.2c K5.1mfn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
유행__02/NNG 국가__01/NNG	NNG NNG	유행__02 국가__01	country	G1.1c W3 F4/M7		GOVT. & THE PUBLIC DOMAIN	연결
정밀__02/NNG 의료__02/NNG	NNG NNG	정밀__02 의료__02	medical	B3		THE BODY & THE INDIVIDUAL	연결
보훈/NNG 가족__01/NNG	NNG NNG	보훈 가족__01	families	S4 A4.1		SOCIAL ACTIONS, STATES & PROCESSES	연결
주요__01/NNG 화두__04/NNG	NNG NNG	주요__01 화두__04	major	A11.1+ N3.2+ | G3/S7.1+/S2mf P1 P1/S2mf | P1		GENERAL & ABSTRACT TERMS	연결
도심__04/NNG 주요__01/NNG	NNG NNG	도심__04 주요__01	major	A11.1+ N3.2+ | G3/S7.1+/S2mf P1 P1/S2mf | P1		GENERAL & ABSTRACT TERMS	연결
장__28/NNG 막판/NNG	NNG NNG	장__28 막판	end	M6 T2- O2 X7+ N4 | T2-		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
정무__01/NNG 부지사/NNG	NNG NNG	정무__01 부지사	Deputy	S7.1-/S2mf		SOCIAL ACTIONS, STATES & PROCESSES	연결
국가__01/NNG 사무__05/NNG	NNG NNG	국가__01 사무__05	state	G1.1c O4.1 | Q2.1		GOVT. & THE PUBLIC DOMAIN	연결
법률/NNG 일부__02/NNG	NNG NNG	법률 일부__02	law	G2.1 S6+ Y1		GOVT. & THE PUBLIC DOMAIN	연결
가입/NNG 조건__02/NNG	NNG NNG	가입 조건__02	conditions	O4.1 S6+ B2- B2+ Z7		SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
정산__05/NNG 검사__03/NNG	NNG NNG	정산__05 검사__03	inspection	X2.4/A5.3		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
예방__02/NNG 효과__01/NNG	NNG NNG	예방__02 효과__01	preventing	S8-		SOCIAL ACTIONS, STATES & PROCESSES	연결
자금__08/NNG 운용/NNG	NNG NNG	자금__08 운용	fund	I1.1 | I1.1 N5+		MONEY & COMMERCE	연결
고독사/NNG 예방__02/NNG	NNG NNG	고독사 예방__02	prevention	S8-		SOCIAL ACTIONS, STATES & PROCESSES	연결
대표/NNG 회장__07/NNG	NNG NNG	대표 회장__07	Pastor	S9/S2mf		SOCIAL ACTIONS, STATES & PROCESSES	연결
기술__01/NNG 면__05/NNG	NNG NNG	기술__01 면__05	technology	Y1		SCIENCE & TECHNOLOGY	연결
환경__02/NNG 소재__05/NNG	NNG NNG	환경__02 소재__05	materials	O1 B5 O2		SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
향상__01/NNG 효과__01/NNG	NNG NNG	향상__01 효과__01	improvement	A5.1+/A2.1		GENERAL & ABSTRACT TERMS	연결
음악__01/NNG 협회/NNG	NNG NNG	음악__01 협회	Association	S5+c A6.1+/X2.1		SOCIAL ACTIONS, STATES & PROCESSES	연결
창출__01/NNG 모델/NNG	NNG NNG	창출__01 모델	model	A5.1+ A5.4- | A5.4- A10+ C1 | O2/A5.4- A4.1 X4.2 A5.1+++ C1/S2mf B5/I3.2/S2mf		GENERAL & ABSTRACT TERMS	연결
군사__01/NNG 쿠데타/NNG	NNG NNG	군사__01 쿠데타	military	G3		GOVT. & THE PUBLIC DOMAIN	연결
의견__01/NNG 청취__04/NNG	NNG NNG	의견__01 청취__04	listening	X3.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
술__01/NNG 한잔/NNG	NNG NNG	술__01 한잔	drink	F2 | F2/B1		FOOD & FARMING	연결
미래__02/NNG 권력__02/NNG	NNG NNG	미래__02 권력__02	future	T1.1.3		TIME	연결
즈__88/NNG 대표/NNG	NNG NNG	즈__88 대표	CEO	S7.1+/S2mf		SOCIAL ACTIONS, STATES & PROCESSES	연결
초과__02/NNG 세수__05/NNG	NNG NNG	초과__02 세수__05	tax	I1.1/G1.1 | I1.1/G1.1 A12-		MONEY & COMMERCE	연결
교통__01/NNG 개선__01/NNG	NNG NNG	교통__01 개선__01	traffic	F3/G2.1- G2.1-/I2.2 | M3 M4 G2.1-/I2.2 M1 S1.1.2+		FOOD & FARMING	연결
후__08/NNG 차량__01/NNG	NNG NNG	후__08 차량__01	vehicle	M3fn X4.2		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
피해__01/NNG 복구__02/NNG	NNG NNG	피해__01 복구__02	recover	B2+ A5.1+/A2.1 A9+		THE BODY & THE INDIVIDUAL	연결
업계__01/NNG 관측/NNG	NNG NNG	업계__01 관측	industry	I4c I2.1c		MONEY & COMMERCE	연결
공유__02/NNG 주방__05/NNG	NNG NNG	공유__02 주방__05	shared	S1.1.2+		SOCIAL ACTIONS, STATES & PROCESSES	연결
인프라/NNG 구축__03/NNG	NNG NNG	인프라 구축__03	Infrastructure	I2.1/S8+		MONEY & COMMERCE	연결
필수__02/NNG 아이템/NNG	NNG NNG	필수__02 아이템	item	O2 Q4 X4.1 | Z4		SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
사망__04/NNG 위로금/NNG	NNG NNG	사망__04 위로금	compensation	S8+		SOCIAL ACTIONS, STATES & PROCESSES	연결
교체__01/NNG 작업__01/NNG	NNG NNG	교체__01 작업__01	replace	A2.1+ M2		GENERAL & ABSTRACT TERMS	연결
구민__03/NNG 안전__03/NNG	NNG NNG	구민__03 안전__03	safety	A15+		GENERAL & ABSTRACT TERMS	연결
법__01/NNG 제정__01/NNG	NNG NNG	법__01 제정__01	laws	G2.1 S6+		GOVT. & THE PUBLIC DOMAIN	연결
인__02/NNG 팀__01/NNG	NNG NNG	인__02 팀__01	team	S5+ | S5+c K5.1/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
업무__02/NNG 담당팀/NNG	NNG NNG	업무__02 담당팀	team	S5+ | S5+c K5.1/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
서비스/NNG 출시/NNG	NNG NNG	서비스 출시	launch	M4 M5 T2+ | M4fn M5 T2+		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
개막__01/NNG 축하/NNG	NNG NNG	개막__01 축하	opening	A1.1.1 T2+ | A1.1.1 T2+ O2 I3.1		GENERAL & ABSTRACT TERMS	연결
조기__05/NNG 개통/NNG	NNG NNG	조기__05 개통	opening	A1.1.1 T2+ | A1.1.1 T2+ O2 I3.1		GENERAL & ABSTRACT TERMS	연결
지분__06/NNG 구조__08/NNG	NNG NNG	지분__06 구조__08	structure	A1.1.1 | O4.1 H1 S7.1 O2 A4.1 X4.2 B1		GENERAL & ABSTRACT TERMS	연결
후__08/NNG 스킨/NNG	NNG NNG	후__08 스킨	After	N4 | Z5		NUMBERS & MEASUREMENT	연결
검토/NNG 용역/NNG	NNG NNG	검토 용역	review	X2.4 Q4 | X2.4/A5 P1 Q4 G3		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
오전__02/NNG 문재__01/NNG	NNG NNG	오전__02 문재__01	Moon	W1 | X5.2-/E4.1-		THE WORLD & OUR ENVIRONMENT	연결
임대/NNG 업자/NNG	NNG NNG	임대 업자	renter				미연결(전체)
불법__01/NNG 촬영/NNG	NNG NNG	불법__01 촬영	Illegal	G2.1-		GOVT. & THE PUBLIC DOMAIN	연결
서류__02/NNG 심사__08/NNG	NNG NNG	서류__02 심사__08	document	Q1.2 X2.2+ A5.2+ | Q1.2 X2.2+ Y2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
미스__03/NNG 매칭/NNG	NNG NNG	미스__03 매칭	mismatch	A6.1-		GENERAL & ABSTRACT TERMS	연결
대기__16/NNG 기간__07/NNG	NNG NNG	대기__16 기간__07	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1		TIME	연결
거치__01/NNG 기간__07/NNG	NNG NNG	거치__01 기간__07	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1		TIME	연결
민간/NNG 중심__01/NNG	NNG NNG	민간 중심__01	private	A10- S5- G1.1- | G3/S2mf B1		GENERAL & ABSTRACT TERMS	연결
민간/NNG 위탁/NNG	NNG NNG	민간 위탁	private	A10- S5- G1.1- | G3/S2mf B1		GENERAL & ABSTRACT TERMS	연결
대상__11/NNG 확대__02/NNG	NNG NNG	대상__11 확대__02	expanding	N3.2+/A2.1 | N3.2+/A2.1 Q2.2/N5++ A4.2-/A2.1		NUMBERS & MEASUREMENT	연결
시대__02/NNG 흐름/NNG	NNG NNG	시대__02 흐름	trend	A6.2+ A2.1+		GENERAL & ABSTRACT TERMS	연결
관련/NNG 인프라/NNG	NNG NNG	관련 인프라	infrastructure	I2.1/S8+		MONEY & COMMERCE	연결
처벌/NNG 규정__04/NNG	NNG NNG	처벌 규정__04	rules	G2.1 X4.2 A6.2+ Q3		GOVT. & THE PUBLIC DOMAIN	연결
에너지/NNG 복지__10/NNG	NNG NNG	에너지 복지__10	welfare	S8+ I1 G1.1c		SOCIAL ACTIONS, STATES & PROCESSES	연결
변화/NNG 추이__01/NNG	NNG NNG	변화 추이__01	changes	A2.1+ I1 B1 | A2.1+ I1 B5		GENERAL & ABSTRACT TERMS	연결
프로젝트/NNG 가운데/NNG	NNG NNG	프로젝트 가운데	projects	A1.1.1 P1		GENERAL & ABSTRACT TERMS	연결
원조__06/NNG 사업__04/NNG	NNG NNG	원조__06 사업__04	projects	A1.1.1 P1		GENERAL & ABSTRACT TERMS	연결
건강__03/NNG 소모임/NNG	NNG NNG	건강__03 소모임	health	B2 X9.2		THE BODY & THE INDIVIDUAL	연결
대비__09/NNG 가치__06/NNG	NNG NNG	대비__09 가치__06	against	A5.1- S8- | Z5		GENERAL & ABSTRACT TERMS	연결
권력__02/NNG 서열__01/NNG	NNG NNG	권력__02 서열__01	power	A1.1.1 | S7.1+ O3 S1.2.5+ N2@		GENERAL & ABSTRACT TERMS	연결
전통__06/NNG 상업__02/NNG	NNG NNG	전통__06 상업__02	commercial	I2.1 | I2.2/Q2.2		MONEY & COMMERCE	연결
공적__01/NNG 심사__08/NNG	NNG NNG	공적__01 심사__08	examination	P1 X2.4 B3		EDUCATION	연결
인당__02/NNG 월__03/NNG	NNG NNG	인당__02 월__03	monthly	N6+ | Q4.2		NUMBERS & MEASUREMENT	연결
생존/NNG 전략__03/NNG	NNG NNG	생존 전략__03	strategy	X7+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
도서관/NNG 운영__03/NNG	NNG NNG	도서관 운영__03	library	Q4.1/H1c		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
일부__02/NNG 중부__03/NNG	NNG NNG	일부__02 중부__03	central	A11.1+ M6 | Z3c		GENERAL & ABSTRACT TERMS	연결
현장__03/NNG 평가__03/NNG	NNG NNG	현장__03 평가__03	evaluation	A5.1 N2		GENERAL & ABSTRACT TERMS	연결
사회__07/NNG 책임/NNG	NNG NNG	사회__07 책임	responsibility	S6+ S7.1+ X6+		SOCIAL ACTIONS, STATES & PROCESSES	연결
인터넷/NNG 사기__25/NNG	NNG NNG	인터넷 사기__25	Internet	Y2		SCIENCE & TECHNOLOGY	연결
출발/NNG 예정__02/NNG	NNG NNG	출발 예정__02	scheduled	X7+/T1		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
법률/NNG 이하__02/NNG	NNG NNG	법률 이하__02	Act	A1.1.1 K4 A5.4- G2.1 P1% | A1.1.1 T1.1.2 A8 K4		GENERAL & ABSTRACT TERMS	연결
실제__02/NNG 비용__03/NNG	NNG NNG	실제__02 비용__03	actual	A5.4+ A14		GENERAL & ABSTRACT TERMS	연결
관리__04/NNG 공사__07/NNG	NNG NNG	관리__04 공사__07	Management	S7.1+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
시간__04/NNG 종료/NNG	NNG NNG	시간__04 종료	hours	T1.3		TIME	연결
이해__06/NNG 부족__01/NNG	NNG NNG	이해__06 부족__01	understanding	X2.5+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
입장__04/NNG 발표__01/NNG	NNG NNG	입장__04 발표__01	announcement	Q2.2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
탈__02/NNG 시설__03/NNG	NNG NNG	탈__02 시설__03	facility	H1 O2 S8+ X9.1+		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
호텔/NNG 투숙객/NNG	NNG NNG	호텔 투숙객	hotel	H4/H1		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
양국__01/NNG 경제__04/NNG	NNG NNG	양국__01 경제__04	economic	I1.3- I2.1		MONEY & COMMERCE	연결
비행기/NNG 표__04/NNG	NNG NNG	비행기 표__04	flight	M5 M1 H2		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
매수__02/NNG 의견__01/NNG	NNG NNG	매수__02 의견__01	opinion	X2.1 X2.1/A5 X6+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
상승__01/NNG 요인__03/NNG	NNG NNG	상승__01 요인__03	rising	M1 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 N3.7+/A2.1		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
계획__01/NNG 시설__03/NNG	NNG NNG	계획__01 시설__03	planning	X7+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
홍보__01/NNG 이사__11/NNG	NNG NNG	홍보__01 이사__11	director	S7.1+/S2mf K4/S2mf		SOCIAL ACTIONS, STATES & PROCESSES	연결
그림__01/NNG 패__03/NNG	NNG NNG	그림__01 패__03	Nakdonggang				미연결(전체)
전문가/NNG 중심__01/NNG	NNG NNG	전문가 중심__01	experts	X2.2+ X9.1+ | X2.2+/S2mf X9.1+/S2mf		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
대다수/NNG 전문가/NNG	NNG NNG	대다수 전문가	experts	X2.2+ X9.1+ | X2.2+/S2mf X9.1+/S2mf		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
디지털/NNG 음원/NNG	NNG NNG	디지털 음원	digital	Y2 N1 | Z3c		SCIENCE & TECHNOLOGY	연결
의문__02/NNG 사항__02/NNG	NNG NNG	의문__02 사항__02	questions	Q2.2 | Q2.2 X4.1		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
콜드/NNG 게임/NNG	NNG NNG	콜드 게임	game	K5.1 K5.2 X7+ A1.1.1 L2 F1 | X5.2+		ENTERTAINMENT, SPORTS & GAMES	연결
경기__11/NNG 양상__08/NNG	NNG NNG	경기__11 양상__08	game	K5.1 K5.2 X7+ A1.1.1 L2 F1 | X5.2+		ENTERTAINMENT, SPORTS & GAMES	연결
영화__01/NNG 시간__04/NNG	NNG NNG	영화__01 시간__04	movie	Q4.3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
계절__01/NNG 가을__01/NNG	NNG NNG	계절__01 가을__01	season	F1 | T1.3		FOOD & FARMING	연결
무료__01/NNG 시식회__02/NNG	NNG NNG	무료__01 시식회__02	free	S6- A1.7- | S6- A1.7- A1.5.1- I1.3- | S6- A1.7- I1.3-		SOCIAL ACTIONS, STATES & PROCESSES	연결
지원__02/NNG 협의회/NNG	NNG NNG	지원__02 협의회	council	G1.1c S7.1+/S5+c		GOVT. & THE PUBLIC DOMAIN	연결
가운데/NNG 추가__02/NNG	NNG NNG	가운데 추가__02	additional	N5++		NUMBERS & MEASUREMENT	연결
입장__04/NNG 정리__09/NNG	NNG NNG	입장__04 정리__09	position	M6 | M6 M7 S7.1 I3.1 N4 S1.1.1 A1.1.1 K5.1%		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
경우__03/NNG 건물__03/NNG	NNG NNG	경우__03 건물__03	building	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
국제__02/NNG 영화제/NNG	NNG NNG	국제__02 영화제	Film	Q4.3 | Q4.3 O2/C1 O1.1 O1.2 B3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
가운데/NNG 청년/NNG	NNG NNG	가운데 청년	young	T3-		TIME	연결
세계__02/NNG 불꽃__01/NNG	NNG NNG	세계__02 불꽃__01	World	W1 S5+c A4.1 N5+		THE WORLD & OUR ENVIRONMENT	연결
세계__02/NNG 선교__02/NNG	NNG NNG	세계__02 선교__02	World	W1 S5+c A4.1 N5+		THE WORLD & OUR ENVIRONMENT	연결
수출__03/NNG 증대/NNG	NNG NNG	수출__03 증대	exports	I2.2/M2		MONEY & COMMERCE	연결
고용__03/NNG 보장__01/NNG	NNG NNG	고용__03 보장__01	security	G2.1 A15+ E6+ I1.1		GOVT. & THE PUBLIC DOMAIN	연결
국가__01/NNG 안전보장/NNG	NNG NNG	국가__01 안전보장	security	G2.1 A15+ E6+ I1.1		GOVT. & THE PUBLIC DOMAIN	연결
주위__02/NNG 친구__02/NNG	NNG NNG	주위__02 친구__02	friends	S3.1/S2mf | Z3c		SOCIAL ACTIONS, STATES & PROCESSES	연결
지방__05/NNG 교육자치/NNG	NNG NNG	지방__05 교육자치	Local	H3/S2mf F2/H1c | M7		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
찜질/NNG 방__07/NNG	NNG NNG	찜질 방__07	jjimjilbangs				미연결(전체)
완전__01/NNG 자급__01/NNG	NNG NNG	완전__01 자급__01	full-sufficiency		"full = ""N5.1+ | N5.1+ I3.2+""; sufficiency = ""N5.1+"""		연결(토큰 단위)
최근/NNG 부동산/NNG	NNG NNG	최근 부동산	Recently	T3---		TIME	연결
미군/NNG 주도__02/NNG	NNG NNG	미군 주도__02	US-led		"led = ""S7.1+ A2.2 M2 A1.1.1 | S7.1+ O2/L2 O3 S8+ O1.1 K4/S2mf"""		연결(토큰 단위)
모카/NNG 스킨/NNG	NNG NNG	모카 스킨	Mocha	N3.6		NUMBERS & MEASUREMENT	연결
산__01/NNG 중턱/NNG	NNG NNG	산__01 중턱	mountainside	W3 M6		THE WORLD & OUR ENVIRONMENT	연결
금액__02/NNG 대별/NNG	NNG NNG	금액__02 대별	amount	N5 | N5+/A2.1		NUMBERS & MEASUREMENT	연결
음식/NNG 속__01/NNG	NNG NNG	음식 속__01	food	F1		FOOD & FARMING	연결
사찰__06/NNG 음식/NNG	NNG NNG	사찰__06 음식	food	F1		FOOD & FARMING	연결
연합__03/NNG 훈련/NNG	NNG NNG	연합__03 훈련	Training	P1 K5.1		EDUCATION	연결
해경/NNG 조사__30/NNG	NNG NNG	해경 조사__30	investigation	X2.4 B3		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
비대위/NNG 활동__02/NNG	NNG NNG	비대위 활동__02	activities	A1.1.1		GENERAL & ABSTRACT TERMS	연결
조장__03/NNG 행위/NNG	NNG NNG	조장__03 행위	activities	A1.1.1		GENERAL & ABSTRACT TERMS	연결
수사__18/NNG 의뢰/NNG	NNG NNG	수사__18 의뢰	requesting	Q2.1 Q2.2 | Q2.2 Q2.1		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
보상__02/NNG 문제__06/NNG	NNG NNG	보상__02 문제__06	compensation	S8+		SOCIAL ACTIONS, STATES & PROCESSES	연결
지정__14/NNG 대상__11/NNG	NNG NNG	지정__14 대상__11	designated	Q2.2 X7+		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
자기자본/NNG 이익률/NNG	NNG NNG	자기자본 이익률	return	M1 A9- N6 | M1 A9- S1.1.2+ N6 I1.1 G1.1/Q1.2 M3 K5.1 Y2% | M6 S1.1.2+		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
이자__05/NNG 감면__02/NNG	NNG NNG	이자__05 감면__02	interest	X5.2+ | X5.2+ I1.1 S8+ S1.1.3+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
지난달/NNG 기준__03/NNG	NNG NNG	지난달 기준__03	As	A13 | Z5		GENERAL & ABSTRACT TERMS	연결
경기__05/NNG 부진__01/NNG	NNG NNG	경기__05 부진__01	slowdown	N3.8- G1.2		NUMBERS & MEASUREMENT	연결
경제__04/NNG 부처__04/NNG	NNG NNG	경제__04 부처__04	Economic	I1.3- I2.1		MONEY & COMMERCE	연결
솔로__01/NNG 활동__02/NNG	NNG NNG	솔로__01 활동__02	career	I3.1 | N3.8+		MONEY & COMMERCE	연결
지역__03/NNG 특구/NNG	NNG NNG	지역__03 특구	Special	A4.2+ A6.2- | A4.2+ G2.1/S2mf		GENERAL & ABSTRACT TERMS	연결
게재/NNG 여부__01/NNG	NNG NNG	게재 여부__01	whether	Z5		NAMES & GRAMMATICAL WORDS	연결
참여/NNG 방안__01/NNG	NNG NNG	참여 방안__01	participation	S1.1.3+		SOCIAL ACTIONS, STATES & PROCESSES	연결
밴드__01/NNG 공연__02/NNG	NNG NNG	밴드__01 공연__02	performances	K4 X9.2 A1.1.1 A12-		ENTERTAINMENT, SPORTS & GAMES	연결
의료__02/NNG 비용__03/NNG	NNG NNG	의료__02 비용__03	medical	B3		THE BODY & THE INDIVIDUAL	연결
위원회/NNG 심사__08/NNG	NNG NNG	위원회 심사__08	committee	S7.1+/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
수지__04/NNG 개선__01/NNG	NNG NNG	수지__04 개선__01	improve	A5.1+/A2.1		GENERAL & ABSTRACT TERMS	연결
골목__01/NNG 문화__01/NNG	NNG NNG	골목__01 문화__01	Culture	C1 S1.1.1 S5+ L1 | L1		ARTS & CRAFTS	연결
기대__03/NNG 이하__02/NNG	NNG NNG	기대__03 이하__02	expectations	X2.6+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
성__07/NNG 접촉/NNG	NNG NNG	성__07 접촉	contact	Q2.2 | S1.1.1 S2mf Q2.2 O3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
일변도/NNG 정책__02/NNG	NNG NNG	일변도 정책__02	policy	X7+ Q1.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
정책__02/NNG 패러다임/NNG	NNG NNG	정책__02 패러다임	policy	X7+ Q1.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
수__26/NNG 감소__01/NNG	NNG NNG	수__26 감소__01	decrease	N5-/A2.1		NUMBERS & MEASUREMENT	연결
대표/NNG 자격__04/NNG	NNG NNG	대표 자격__04	representative	A6.2+ G1.1 A4.1 S1.1.3 | Q2.1/S2mf G1.1/S2mf I2.2/S2mf A4.1		GENERAL & ABSTRACT TERMS	연결
