k_wpos	ko_pospat	ko	en	en_semantic_tags	category	note
간략하/VA	VA	간략하	brief	Q1.2 G2.1/S2mf | Q2.1 | T1.3- N3.7-%	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
농단/NNG	NNG	농단	Manipulation	A2.1+/G2.2- S7.1+ A1.1.1	GENERAL & ABSTRACT TERMS	연결
산림청/NNG	NNG	산림청	Forest	Z3c	NAMES & GRAMMATICAL WORDS	연결
신재생/NNG	NNG	신재생	renewable	T3-/A2.1	TIME	연결
계양/NNP	NNP	계양	Gyeyang			미연결
구__08/NNP	NNP	구__08	Gu			미연결
지극히/MAG	MAG	지극히	extremely	A13.3	GENERAL & ABSTRACT TERMS	연결
칵테일/NNG	NNG	칵테일	cocktails	F2	FOOD & FARMING	연결
조국__01/NNG	NNG	조국__01	Cho			미연결
내주/VV	VV	내주	given	A4.2+ A9- | A9- A1.1.1 | Z5	GENERAL & ABSTRACT TERMS	연결
약화하/VV	VV	약화하	weakened	S7.1-/A2.1 I1.1-/A2.1 S1.2.5-/A2.1 O4.1/A2.1 A5.1-/A2.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
산둥/NNP	NNP	산둥	Shandong			미연결
독재정권/NNG	NNG	독재정권	dictatorship	S7.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
죄송스럽/VA	VA	죄송스럽	sorry	Z4 | Z4 E4.1- O4.2-	NAMES & GRAMMATICAL WORDS	연결
실행하__02/VV	VV	실행하__02	carry	M2 A9+ Q4 S7.4+ B1% B2-%	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
공익성/NNG	NNG	공익성	public	A10+ | S5+ A10+ | S5+c	GENERAL & ABSTRACT TERMS	연결
격렬하/VA	VA	격렬하	fierce	E3-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
접착제/NNG	NNG	접착제	glue	A1.1.1 | O1	GENERAL & ABSTRACT TERMS	연결
추행__04/NNG	NNG	추행__04	molestation	E3-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
능통하__02/VA	VA	능통하__02	fluent	X9.1+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
보건소/NNG	NNG	보건소	centers	M6 | M6 H1c M7c G1.2c K5.1mfn	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
기부하__04/VV	VV	기부하__04	donating	A9-	GENERAL & ABSTRACT TERMS	연결
문구__01/NNG	NNG	문구__01	words	Q3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
에코/NNP	NNP	에코	Echo	Z3c	NAMES & GRAMMATICAL WORDS	연결
창세기/NNP	NNP	창세기	Genesis	Z3	NAMES & GRAMMATICAL WORDS	연결
중소__02/NNG	NNG	중소__02	medium-sized	N3.2	NUMBERS & MEASUREMENT	연결
탈세/NNG	NNG	탈세	evasion	A1.9	GENERAL & ABSTRACT TERMS	연결
공업__01/NNG	NNG	공업__01	industrial	I4	MONEY & COMMERCE	연결
예상하/VV	VV	예상하	anticipate	X2.1 | X2.6+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
당하__01/VV	VV	당하__01	being	A3+ L1 | A3+ Z5	GENERAL & ABSTRACT TERMS	연결
악화__01/NNG	NNG	악화__01	poor	I1.1- A5.1- N5- E4.1- X9.1-	MONEY & COMMERCE	연결
심사__08/NNG	NNG	심사__08	immigration	M1/M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
고위직/NNG	NNG	고위직	high-ranking	A11.1+ S7.1+	GENERAL & ABSTRACT TERMS	연결
땅__01/NNG	NNG	땅__01	soil	O1.1/W3 F4 | O4.2-	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
단가__02/NNG	NNG	단가__02	cost	I1.3 | I1.3 I1.2	MONEY & COMMERCE	연결
검색/NNG	NNG	검색	searches	X2.4	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
코인/NNG	NNG	코인	Coin	A1.1.1 | I1	GENERAL & ABSTRACT TERMS	연결
커리큘럼/NNG	NNG	커리큘럼	curricula	P1	EDUCATION	연결
공약__01/NNG	NNG	공약__01	commitments	S6+ A1.7+/G2.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
상당수/NNG	NNG	상당수	considerable	N5+	NUMBERS & MEASUREMENT	연결
정전__12/NNG	NNG	정전__12	blackout	B2- A10- O4.3 G3@	THE BODY & THE INDIVIDUAL	연결
수행__02/NNG	NNG	수행__02	execution	L1- A1.1.1 C1	LIFE & LIVING THINGS	연결
빠져나오/VV	VV	빠져나오	escape	A1.7- O2 | A1.7- X2.2- Y2	GENERAL & ABSTRACT TERMS	연결
안정세/NNG	NNG	안정세	stable	A2.1- S1.2 O4.1 | L2/H1 | L2/H4	GENERAL & ABSTRACT TERMS	연결
잊히/VV	VV	잊히	forgotten	X2.2-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
법인세/NNG	NNG	법인세	tax	I1.1/G1.1 | I1.1/G1.1 A12-	MONEY & COMMERCE	연결
먹이/NNG	NNG	먹이	feeding	F1 A9- S8+ M2@	FOOD & FARMING	연결
겹치__01/VV	VV	겹치__01	overlapped	N5.2+ A6.1+	NUMBERS & MEASUREMENT	연결
관계부처/NNG	NNG	관계부처	relevant	A1.2+ A1.5.2+	GENERAL & ABSTRACT TERMS	연결
울음/NNG	NNG	울음	crying	B1/E4.1- Q2.2	THE BODY & THE INDIVIDUAL	연결
발휘하/VV	VV	발휘하	display	A10+ | A10+ Y2	GENERAL & ABSTRACT TERMS	연결
환경부/NNG	NNG	환경부	Environment			미연결
만찬/NNG	NNG	만찬	banquet	F1 | F1 K1	FOOD & FARMING	연결
죄책감/NNG	NNG	죄책감	guilt	G2.2- G2.1-	GOVT. & THE PUBLIC DOMAIN	연결
제목__02/NNG	NNG	제목__02	entitled	S7.4+	SOCIAL ACTIONS, STATES & PROCESSES	연결
업체/NNG	NNG	업체	supplier	I2.2/S2mfc A9-/S2mfc	MONEY & COMMERCE	연결
무기징역/NNG	NNG	무기징역	imprisonment	G2.1 A1.7+	GOVT. & THE PUBLIC DOMAIN	연결
탁월하/VA	VA	탁월하	outstanding	A5.1++ A11.2+ I1.2 A1.9	GENERAL & ABSTRACT TERMS	연결
통합진보당/NNG	NNG	통합진보당	Party	K1/S1.1.3+ | K1/S1.1.3+c G1.2c S1.1.3+/S2mf S5+c	ENTERTAINMENT, SPORTS & GAMES	연결
증가분/NNG	NNG	증가분	increase	N5+/A2.1	NUMBERS & MEASUREMENT	연결
중요시하/VV	VV	중요시하	important	A11.1+	GENERAL & ABSTRACT TERMS	연결
삼척시/NNP	NNP	삼척시	Samcheok			미연결
이탈리안/NNG	NNG	이탈리안	Italian	Z2 | Z2 Z2/Q3 | Z2/S2mf Z2/Q3 | Z2/S2mf Z2/Q3 F1	NAMES & GRAMMATICAL WORDS	연결
신청일/NNG	NNG	신청일	application	Q1.2 A1.5.1 Y2 X5.1+ A1.1.1	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
감동하__01/VV	VV	감동하__01	touched	E1 X3.3 M6 Q2.2 E2- A9+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
핑__03/NNG	NNG	핑__03	Jinping			미연결
끊/VV	VV	끊	took	A9+ T1.3 C1 A1.1.1 M2 A2.1+ X2.4 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	GENERAL & ABSTRACT TERMS	연결
좌우하/VV	VV	좌우하	determines	A2.2 A7+ X6+	GENERAL & ABSTRACT TERMS	연결
인비테이셔널/NNG	NNG	인비테이셔널	Invitational			미연결
집중되/VV	VV	집중되	paying	I1.2 A9- I1.1/I3.1	MONEY & COMMERCE	연결
침투/NNG	NNG	침투	penetration	M1/A10- A1.8+ X2.5+	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
정체불명/NNG	NNG	정체불명	unidentified	X2.2-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
조작__02/NNG	NNG	조작__02	manipulated	A2.1+/G2.2- S7.1+ A1.1.1	GENERAL & ABSTRACT TERMS	연결
개표__03/NNG	NNG	개표__03	vote	G1.2	GOVT. & THE PUBLIC DOMAIN	연결
폭설__02/NNG	NNG	폭설__02	snowfall	W4	THE WORLD & OUR ENVIRONMENT	연결
민족/NNG	NNG	민족	peoples	S2mf	SOCIAL ACTIONS, STATES & PROCESSES	연결
여동생/NNG	NNG	여동생	younger	T3--	TIME	연결
시인하__01/VV	VV	시인하__01	admitted	Q2.2 B3 A1.8+ S7.4+/M1	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
폭발하__01/VV	VV	폭발하__01	exploding	A1.1.1 N5+/A2.1 E3- G3	GENERAL & ABSTRACT TERMS	연결
슬라이더/NNG	NNG	슬라이더	slider	O2	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
상관없이/MAG	MAG	상관없이	Regardless	A11.1- E6+	GENERAL & ABSTRACT TERMS	연결
유포하__01/VV	VV	유포하__01	distributing	A9- I2.2 M2/N3.6	GENERAL & ABSTRACT TERMS	연결
통계자료/NNG	NNG	통계자료	statistics	N3.1c N2c	NUMBERS & MEASUREMENT	연결
잊어버리/VV	VV	잊어버리	forgot	X2.2-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
이송하/VV	VV	이송하	transferred	M6/A2.1+ A9- I3.1/A2.1+ Y2 M3 M4 M5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
홈__01/NNG	NNG	홈__01	Home	H4 M6 | H4/H1c M6 | M1/M6	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
계약하/VV	VV	계약하	signed	Q1.2 Q1.1 G2.1 I3.1 S9	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
남기/VV	VV	남기	remaining	T2++ M8 N5.2+	TIME	연결
살인/NNG	NNG	살인	Murder	L1- | L1- A12-	LIFE & LIVING THINGS	연결
즐거움/NNG	NNG	즐거움	enjoyment	E2+ A9+ E4.1+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
판매점/NNG	NNG	판매점	stores	I2.2/H1 A9+ A9+/H1 F1	MONEY & COMMERCE	연결
위쪽/NNG	NNG	위쪽	above	M6 | M6 A5.1++ | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
수출품/NNG	NNG	수출품	exports	I2.2/M2	MONEY & COMMERCE	연결
그러하/VA	VA	그러하	Such	Z5 Z8	NAMES & GRAMMATICAL WORDS	연결
경청하__01/VV	VV	경청하__01	listen	X3.2	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
토요타/NNP	NNP	토요타	Toyota	Z3c/M3	NAMES & GRAMMATICAL WORDS	연결
들어가__01/VV	VV	들어가__01	contain	A1.8+ A1.7+	GENERAL & ABSTRACT TERMS	연결
빠지__02/VV	VV	빠지__02	missing	A3- A10- A9- | A5.3- X3.4- A11.2- X2.5- X9.2- E4.1- T4- S1.1.3-	GENERAL & ABSTRACT TERMS	연결
볶/VV	VV	볶	fried	F1	FOOD & FARMING	연결
대낮/NNG	NNG	대낮	daylight	W2 T1.3	THE WORLD & OUR ENVIRONMENT	연결
맞닥뜨리/VV	VV	맞닥뜨리	faced	M6 S1.1.1 X2.1 B5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
접목하__02/VV	VV	접목하__02	incorporate	A1.8+ S5+	GENERAL & ABSTRACT TERMS	연결
공개__02/NNG	NNG	공개__02	openly	A10+	GENERAL & ABSTRACT TERMS	연결
묶/VV	VV	묶	tying	A1.1.1 S5+ A1.7+	GENERAL & ABSTRACT TERMS	연결
확인되/VV	VV	확인되	verified	A5.2+	GENERAL & ABSTRACT TERMS	연결
최창식/NNP	NNP	최창식	Chang-sik	Z1 Z2	NAMES & GRAMMATICAL WORDS	연결
스트레스/NNG	NNG	스트레스	stressful	E6-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
오세훈/NNP	NNP	오세훈	Oh	Z4	NAMES & GRAMMATICAL WORDS	연결
개발/NNG	NNG	개발	developer	H1/S2mf C1/O1.2@@	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
돌발__02/NNG	NNG	돌발__02	sudden	N3.8+	NUMBERS & MEASUREMENT	연결
추모객/NNG	NNG	추모객	mourners			미연결
동일하/VA	VA	동일하	equally	A6.1+	GENERAL & ABSTRACT TERMS	연결
충돌하/VV	VV	충돌하	colliding	A1.1.2 A6.1-	GENERAL & ABSTRACT TERMS	연결
선언__01/NNG	NNG	선언__01	declared	Q2.2 K5.1%	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
서산시/NNP	NNP	서산시	Seosan			미연결
증대하/VV	VV	증대하	increase	N5+/A2.1	NUMBERS & MEASUREMENT	연결
진천군/NNP	NNP	진천군	Jincheon-gun			미연결
실질/NNG	NNG	실질	actual	A5.4+ A14	GENERAL & ABSTRACT TERMS	연결
휴식하__02/VV	VV	휴식하__02	rest	E3+ K1 T2-/T1.3 O2 N5.1- | E3+ M6 A3+ A2.2	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
시간제/NNG	NNG	시간제	workweek			미연결
차익__02/NNG	NNG	차익__02	profit	I1.1 A5.1+ | S8+ I1.1	MONEY & COMMERCE	연결
신부__04/NNG	NNG	신부__04	Father	S4/B1 | S4m S9/S2.2m	SOCIAL ACTIONS, STATES & PROCESSES	연결
인격/NNG	NNG	인격	character	O4.1 | S2mf K4/S2mf S1.2 S2mf/A6.2- Q1.2 A4.1 O4.2+	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
질타/NNG	NNG	질타	criticism	Q2.2/E2- X2.4	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
공제하__04/VV	VV	공제하__04	deducted	N5-	NUMBERS & MEASUREMENT	연결
관련성/NNG	NNG	관련성	relevance	A1.2+ A1.5.2+	GENERAL & ABSTRACT TERMS	연결
담당/NNG	NNG	담당	division	A6.1- N2 G2.1/S5+c G3/S5+c G1.2 K5.2/S5+c	GENERAL & ABSTRACT TERMS	연결
유예기간/NNG	NNG	유예기간	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1	TIME	연결
예매하__01/VV	VV	예매하__01	book	A9+/Q2.2 G2.1 | Q4.1 Q1.2 K5.1/I1	GENERAL & ABSTRACT TERMS	연결
대중화되/VV	VV	대중화되	popular	E2+ S5+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
개점/NNG	NNG	개점	opening	A1.1.1 T2+ | A1.1.1 T2+ O2 I3.1	GENERAL & ABSTRACT TERMS	연결
재활용하/VV	VV	재활용하	recycled	A1.5.1/N6	GENERAL & ABSTRACT TERMS	연결
언론사/NNG	NNG	언론사	press	A1.1.1 X8+ S7.1+ E6- | Q4.2c O2 A1.1.1 Q4.1/I2.1c	GENERAL & ABSTRACT TERMS	연결
한글학교/NNG	NNG	한글학교	School	P1 | P1/H1c S5+c L2%c	EDUCATION	연결
수반되/VV	VV	수반되	accompanied	S3.1 K2 | S3.1 K2 T1.1.2	SOCIAL ACTIONS, STATES & PROCESSES	연결
경주__08/NNG	NNG	경주__08	race	K5.1 S7.3+ S5+c | S7.3+ M1/N3.8+	ENTERTAINMENT, SPORTS & GAMES	연결
연간__02/NNG	NNG	연간__02	Annual	N6+ | Q4.1 L3	NUMBERS & MEASUREMENT	연결
포도당/NNG	NNG	포도당	glucose	O1	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
공공기관/NNG	NNG	공공기관	Official	G1.1 S7.4+ | G1.1/S2mf S7.1+/S2mf	GOVT. & THE PUBLIC DOMAIN	연결
결혼생활/NNG	NNG	결혼생활	marriage	S4	SOCIAL ACTIONS, STATES & PROCESSES	연결
취직하/VV	VV	취직하	job	I3.1 A1.1.1 A12-	MONEY & COMMERCE	연결
상담__01/NNG	NNG	상담__01	counselor	S8+/S2mf G2.1/S2@mf	SOCIAL ACTIONS, STATES & PROCESSES	연결
증표/NNG	NNG	증표	certificate	Q1.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
무너지/VV	VV	무너지	collapses	A1.1.2 B2- N3.2-/A2.1	GENERAL & ABSTRACT TERMS	연결
연세대/NNP	NNP	연세대	University	P1/H1c	EDUCATION	연결
아스타나/NNP	NNP	아스타나	Astana			미연결
버클리__02/NNP	NNP	버클리__02	Berkeley	Z1mf Z2	NAMES & GRAMMATICAL WORDS	연결
하버드/NNP	NNP	하버드	Harvard	Z1mf Z3c	NAMES & GRAMMATICAL WORDS	연결
따스하/VA	VA	따스하	warm	O4.6+ | O4.6+ E2+ | O4.6+ O4.2+ S1.2.1+	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
상세히/MAG	MAG	상세히	detailed	A4.2+	GENERAL & ABSTRACT TERMS	연결
식초/NNG	NNG	식초	vinegar	O1.2/F1	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
비난하/VV	VV	비난하	criticize	Q2.2/E2-	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
자원__02/NNG	NNG	자원__02	resource	A9+ W3 | A9-	GENERAL & ABSTRACT TERMS	연결
부여__04/NNG	NNG	부여__04	given	A4.2+ A9- | A9- A1.1.1 | Z5	GENERAL & ABSTRACT TERMS	연결
소외되/VV	VV	소외되	underprivileged			미연결
브로콜리/NNG	NNG	브로콜리	broccoli	F1 L3 | Z1mf	FOOD & FARMING	연결
누리__01/VV	VV	누리__01	enjoyed	E2+ A9+ E4.1+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
정전__12/NNG	NNG	정전__12	outage			미연결
커지/VV	VV	커지	increasingly	A13.3	GENERAL & ABSTRACT TERMS	연결
보상하__02/VV	VV	보상하__02	compensated	S8+	SOCIAL ACTIONS, STATES & PROCESSES	연결
소집/NNG	NNG	소집	convene	S7.1+ A1.1.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
초월하/VV	VV	초월하	beyond	M6 | M6 N4 | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
탄력/NNG	NNG	탄력	resilient	S1.2.5+ O4.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
교부__02/NNG	NNG	교부__02	granted	A9+	GENERAL & ABSTRACT TERMS	연결
거부__02/NNG	NNG	거부__02	refusing	Q2.2/Z6 S7.4- X7- | X7-/O2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
게재하/VV	VV	게재하	posting	Q1.2 M2 I3.1	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
크리스틴/NNP	NNP	크리스틴	Christine	Z1f	NAMES & GRAMMATICAL WORDS	연결
산악__01/NNG	NNG	산악__01	mountainous	W3	THE WORLD & OUR ENVIRONMENT	연결
전작__04/NNG	NNG	전작__04	previous	N4	NUMBERS & MEASUREMENT	연결
플레이/NNG	NNG	플레이	playing	K1 K5.1 K5.2 K2 K3 A1.1.1 K6	ENTERTAINMENT, SPORTS & GAMES	연결
혼재/NNG	NNG	혼재	mixed	A6.3+ S1.1.3+ S2	GENERAL & ABSTRACT TERMS	연결
실무위원회/NNG	NNG	실무위원회	committee	S7.1+/S5+c	SOCIAL ACTIONS, STATES & PROCESSES	연결
금상__05/NNG	NNG	금상__05	gold	O1.1 O4.3 | O1.1 O4.3 I1 | Z3	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
걸리__01/VV	VV	걸리__01	hung	M1 A7- | M2 M1 M8 G2.1 S7.1-	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
자격증/NNG	NNG	자격증	qualifications	P1 X9.1 S6+ A1.7+	EDUCATION	연결
최선희/NNP	NNP	최선희	Sun-hee	Z3c	NAMES & GRAMMATICAL WORDS	연결
임대하/VV	VV	임대하	rented	I2.2	MONEY & COMMERCE	연결
매몰되/VV	VV	매몰되	buried	A10- L1-	GENERAL & ABSTRACT TERMS	연결
연주회/NNG	NNG	연주회	concerts	E6- | K2	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
발부__01/NNG	NNG	발부__01	issued	A9-	GENERAL & ABSTRACT TERMS	연결
회견/NNG	NNG	회견	conference	S1.1.3+	SOCIAL ACTIONS, STATES & PROCESSES	연결
주체__02/NNG	NNG	주체__02	main	A11.1+ N5+++ | O2/M4 O3 | Z3	GENERAL & ABSTRACT TERMS	연결
본격화하/VV	VV	본격화하	began	T2+	TIME	연결
넘나들/VV	VV	넘나들	crossing	M1 M6 S8- A1.8+ A6.3+ F4/L2 O4.4 Q1.2 E3- S1.1.1 S9@	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
애칭/NNG	NNG	애칭	nickname	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
지속적/NNG	NNG	지속적	persistent	T2++	TIME	연결
마을기업/NNG	NNG	마을기업	village	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
처벌하/VV	VV	처벌하	punishment	G2.1	GOVT. & THE PUBLIC DOMAIN	연결
진보적/NNG	NNG	진보적	progressive	G1.2 T3--- N3.8- Q3 | G1.2/S2mf Q3	GOVT. & THE PUBLIC DOMAIN	연결
행정소송/NNG	NNG	행정소송	administrative	S7.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
명쾌하/VA	VA	명쾌하	clear	A7+ A10+ O4.3 O4.1 N5.1+ W4 | K5.1/X9.2+ | M2 A7+ A10+ I1.1 B4 O4.1	GENERAL & ABSTRACT TERMS	연결
지급하__01/VV	VV	지급하__01	reimbursed	I1/A9-	MONEY & COMMERCE	연결
멀리__01/NNG	NNG	멀리__01	far	A13.3 N3.3+ X9.2+ | N3.3+	GENERAL & ABSTRACT TERMS	연결
강__10/NNG	NNG	강__10	round	M1 | M6 | N5 K5.1 M1 F2 B3 F1 K2% G3% | O4.4 M6 | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
떠다니/VV	VV	떠다니	floating	M1 T2+ I2.2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
급감__02/NNG	NNG	급감__02	drop	M2 M1 N5-/A2.1 O1.2/M1 B2- T2- A9- A1.8- X9.2-/K5 X3.2 | O1.2/N5 N5-/A2.1 N5- B3 N3.3 F1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
출품하/VV	VV	출품하	submitted	A9- S7.1-	GENERAL & ABSTRACT TERMS	연결
가나안/NNP	NNP	가나안	Canaan			미연결
나뭇가지/NNG	NNG	나뭇가지	branches	N5+ A2.1+ | S5+c L3 A4.1	NUMBERS & MEASUREMENT	연결
고려대/NNP	NNP	고려대	University	P1/H1c	EDUCATION	연결
기다리/VV	VV	기다리	awaits	X2.6+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
오라클/NNP	NNP	오라클	Oracle	Z3	NAMES & GRAMMATICAL WORDS	연결
주__26/NNG	NNG	주__26	weekdays	T1.2	TIME	연결
추락__02/NNG	NNG	추락__02	crash	A1.1.2 X3.2 I2.1/X9.2- Y2 B3% | A1.1.2 X3.2 M1 N5-/A2.1 Y2 B1@	GENERAL & ABSTRACT TERMS	연결
구조상/NNG	NNG	구조상	structure	A1.1.1 | O4.1 H1 S7.1 O2 A4.1 X4.2 B1	GENERAL & ABSTRACT TERMS	연결
색감__02/NNG	NNG	색감__02	colors	O4.3	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
우위__03/NNG	NNG	우위__03	edge	A1.1.1 M1 | O2 M7 T1.2 S7.1+@	GENERAL & ABSTRACT TERMS	연결
대내외/NNG	NNG	대내외	abroad	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
경감__04/NNG	NNG	경감__04	reduction	N5-/A2.1 Y1@	NUMBERS & MEASUREMENT	연결
힘들/VA	VA	힘들	hardly	A13.7	GENERAL & ABSTRACT TERMS	연결
금지하/VV	VV	금지하	prohibiting	S7.4-	SOCIAL ACTIONS, STATES & PROCESSES	연결
대산/NNP	NNP	대산	Daesan			미연결
황당하/VA	VA	황당하	absurd	S1.2.6-	SOCIAL ACTIONS, STATES & PROCESSES	연결
본격/NNG	NNG	본격	fully	A13.2 N5.1+	GENERAL & ABSTRACT TERMS	연결
반환하__01/VV	VV	반환하__01	refund	I1.1+/A9-	MONEY & COMMERCE	연결
한글날/NNG	NNG	한글날	Day	T1.3	TIME	연결
정차하/VV	VV	정차하	stop	M3 T2- M8 H4 Q3 K2 | T2- S8- M8 H4 A1.1.1@ | Z3	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
압승/NNG	NNG	압승	victory	S7.1+ X9.2+ | X9.2+	SOCIAL ACTIONS, STATES & PROCESSES	연결
주장__03/NNG	NNG	주장__03	claiming	Q2.2 A9+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
요리__05/NNG	NNG	요리__05	cooked	F1	FOOD & FARMING	연결
유능하/VA	VA	유능하	competent	X9.1+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
성질/NNG	NNG	성질	properties	H1 O4.1	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
동남권/NNG	NNG	동남권	Southeast			미연결
카네이션/NNG	NNG	카네이션	carnation	L3	LIFE & LIVING THINGS	연결
리우/NNP	NNP	리우	Rio	Z2 Z3c	NAMES & GRAMMATICAL WORDS	연결
장밋빛/NNG	NNG	장밋빛	rosy	A5.1+ O4.3 E4.1+	GENERAL & ABSTRACT TERMS	연결
발달/NNG	NNG	발달	developmental	A2.1+	GENERAL & ABSTRACT TERMS	연결
육아휴직/NNG	NNG	육아휴직	parental	S4	SOCIAL ACTIONS, STATES & PROCESSES	연결
잠시/MAG	MAG	잠시	brief	Q1.2 G2.1/S2mf | Q2.1 | T1.3- N3.7-%	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
최창식/NNP	NNP	최창식	Choi			미연결
추돌하/VV	VV	추돌하	collided	A1.1.2 A6.1-	GENERAL & ABSTRACT TERMS	연결
터너/NNP	NNP	터너	Turner	Z1mf	NAMES & GRAMMATICAL WORDS	연결
무주__06/NNP	NNP	무주__06	Muju			미연결
파이프/NNG	NNG	파이프	pipe	M2 K2 Q2.1 | O2 F3 K2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
눈__01/NNG	NNG	눈__01	visible	X3.4 A11.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
만장일치/NNG	NNG	만장일치	unanimously	A6.1+	GENERAL & ABSTRACT TERMS	연결
진흥/NNG	NNG	진흥	Accelerator	M3/N3.8+ Y1@	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
중금속/NNG	NNG	중금속	heavy	N3.5+ N5+ | N3.5+ S1.2.5+ N5+ O4.1 E4.1- W4 A12- A1.1.1 N3.2+ A1.1.2@ | S1.2.5+/S2mf	NUMBERS & MEASUREMENT	연결
기조연설/NNG	NNG	기조연설	keynote	A11.1++	GENERAL & ABSTRACT TERMS	연결
들여다보/VV	VV	들여다보	looked	A8 X3.4 X2.4 X7+	GENERAL & ABSTRACT TERMS	연결
동법/NNG	NNG	동법	Act	A1.1.1 K4 A5.4- G2.1 P1% | A1.1.1 T1.1.2 A8 K4	GENERAL & ABSTRACT TERMS	연결
적발되/VV	VV	적발되	uncovered	A10+	GENERAL & ABSTRACT TERMS	연결
산속/NNG	NNG	산속	mountains	W3	THE WORLD & OUR ENVIRONMENT	연결
마우리/NNG	NNG	마우리	Mauricio			미연결
전하/VV	VV	전하	conveying	Q2.1 M2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
설명되/VV	VV	설명되	explained	Q2.2/A7+ A2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
가족사/NNG	NNG	가족사	family	S4c A4.1c	SOCIAL ACTIONS, STATES & PROCESSES	연결
드러나/VV	VV	드러나	evident	A11.2+	GENERAL & ABSTRACT TERMS	연결
